;Last;PE;;ROE;;
;Y;X1;;X2;;
;1.458,00;13,78;;33,18;;
;437,15;4,26;;38,77;;
;2.496,00;29,08;;46,63;;
;8.540,00;59,96;;3,18;;
;6.436,00;19,66;;27,75;;
;1.160,00;--;;-16,81;;
;2.108,00;33,42;;20,68;;
;2.397,00;8,38;;16,36;;
;1.166,50;40,77;;--;;
;345,55;29,62;;4,97;;
;45,97;6,41;;--;;
;985,80;19,69;;17,06;;
;3.918,00;14,15;;12,68;;
;16.040,00;--;;-2,95;;
;2.746,00;27,60;;32,60;;
;91,05;14,87;;3,78;;
;259,10;7,18;;--;;
;153,48;5,15;;--;;
;4.701,00;21,06;;26,18;;
;1.861,50;7,78;;32,23;;
;271,60;27,57;;5,40;;
;1.880,00;11,50;;25,71;;
;618,00;9,20;;--;;
;1.757,50;4,21;;36,62;;
;640,60;55,25;;8,65;;
;153,75;12,30;;9,45;;
;1.922,00;21,61;;6,55;;
;1.429,50;11,69;;18,06;;
;227,00;6,20;;--;;
;148,50;--;;--;;
;411,20;--;;--;;
;1.274,50;62,23;;4,12;;
;3.184,00;22,55;;19,27;;
;810,20;--;;-15,53;;
;700,40;73,94;;2,14;;
;888,20;14,53;;18,71;;
;2.525,00;25,62;;24,99;;
;6.838,00;14,59;;31,15;;
;2.537,00;25,62;;12,99;;
;5.324,00;32,58;;--;;
;2.403,00;36,63;;19,22;;
;6.856,00;11,93;;65,58;;
;625,80;--;;-16,03;;
;1.488,50;233,29;;1,19;;
;166,50;22,94;;23,36;;
;817,20;32,06;;20,73;;
;11.225,00;36,72;;20,63;;
;156,00;28,97;;30,18;;
;2.986,00;9,25;;20,08;;
;470,00;15,40;;11,25;;
;2.950,00;--;;-7,26;;
;1.083,00;--;;-1,90;;
;286,40;9,90;;8,95;;
;4.161,00;23,28;;24,41;;
;2.226,00;17,58;;--;;
;3.257,00;23,58;;6,77;;
;113,85;--;;-46,24;;
;1.296,50;6,02;;23,14;;
;1.129,50;15,16;;--;;
;450,50;--;;-3,12;;
;1.651,00;401,33;;0,63;;
;631,00;24,57;;52,56;;
;573,60;--;;--;;
;813,40;24,44;;5,58;;
;2.698,00;--;;-11,01;;
;699,80;24,37;;7,45;;
;2.070,00;--;;-1,75;;
;496,80;10,04;;9,30;;
;252,90;10,76;;7,01;;
;485,70;11,39;;57,07;;
;4.364,00;10,78;;15,29;;
;630,60;5,44;;11,49;;
;4.746,00;15,09;;11,25;;
;200,20;--;;--;;
;566,20;24,11;;282,17;;
;1.786,00;21,80;;13,39;;
;894,00;--;;-9,90;;
;110,40;8,88;;18,27;;
;124,40;6,98;;14,60;;
;215,20;87,05;;3,81;;
;316,10;15,48;;7,21;;
;1.326,50;7,68;;15,88;;
;877,20;18,11;;22,91;;
;204,80;--;;-8,02;;
;1.166,00;122,64;;--;;
;589,50;28,64;;--;;
;463,30;--;;-26,59;;
;795,60;17,18;;37,02;;
;925,00;10,40;;9,70;;
;779,00;16,31;;18,08;;
;1.952,50;32,27;;4,53;;
;384,00;3,74;;15,16;;
;199,03;13,51;;--;;
;31,89;484,77;;0,76;;
;209,50;42,57;;24,35;;
;5,23;--;;-38,94;;
;140,35;5,48;;31,74;;
;59,40;4,70;;25,41;;
;22,45;10,68;;10,64;;
;63,45;108,53;;0,82;;
;22.1 c;--;;-26,30;;
;120,04;4,27;;9,97;;
;150,80;4,27;;9,97;;
;18,94;--;;-2,00;;
;17,12;3,20;;25,41;;
;34,70;6,43;;47,67;;
;20,34;--;;-51,92;;
;14,47;7,32;;7,97;;
;6,24;--;;--;;
;18,90;23,33;;18,90;;
;15,64;42,56;;31,05;;
;46,70;10,04;;--;;
;6,53;3,68;;9,16;;
;7,68;11,63;;3,63;;
;18,42;57,21;;2,86;;
;33,30;1,63;;26,42;;
;9,94;14,55;;6,57;;
;108,85;54,04;;8,31;;
;14,29;--;;-1,78;;
;58,70;13,97;;17,09;;
;41,30;12,15;;22,55;;
;33,92;132,50;;1,29;;
;22,15;19,41;;14,66;;
;74,70;13,31;;20,71;;
;110,90;13,31;;20,71;;
;149,70;32,26;;8,05;;
;53,40;29,51;;11,36;;
;5,86;7,13;;15,76;;
;9,14;9,69;;26,66;;
;13,16;9,85;;15,07;;
;16,62;2,26;;25,18;;
